




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (312)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
organic cyclic compound catabolic process (GO:1901361)	299	18	4.19	+	4.30	5.02E-07	5.01E-05
organic substance catabolic process (GO:1901575)	1278	76	17.91	+	4.24	1.83E-26	1.66E-23
protein stabilization (GO:0050821)	152	9	2.13	+	4.22	4.18E-04	1.95E-02
response to virus (GO:0009615)	204	12	2.86	+	4.20	5.05E-05	3.33E-03
interspecies interaction between organisms (GO:0044419)	227	13	3.18	+	4.09	3.21E-05	2.20E-03
protein oligomerization (GO:0051259)	527	30	7.39	+	4.06	2.50E-10	3.96E-08
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	195	11	2.73	+	4.03	1.47E-04	8.00E-03
positive regulation of lipid metabolic process (GO:0045834)	143	8	2.00	+	3.99	1.23E-03	4.59E-02
regulation of reactive oxygen species metabolic process (GO:2000377)	180	10	2.52	+	3.96	3.28E-04	1.58E-02
catabolic process (GO:0009056)	1499	83	21.01	+	3.95	4.97E-27	4.78E-24
cellular nitrogen compound catabolic process (GO:0044270)	254	14	3.56	+	3.93	2.40E-05	1.73E-03
tRNA metabolic process (GO:0006399)	164	9	2.30	+	3.92	7.03E-04	2.99E-02
organonitrogen compound biosynthetic process (GO:1901566)	1047	57	14.67	+	3.88	4.75E-18	2.21E-15
heterocycle catabolic process (GO:0046700)	260	14	3.64	+	3.84	3.06E-05	2.17E-03
establishment or maintenance of cell polarity (GO:0007163)	168	9	2.35	+	3.82	8.27E-04	3.41E-02
cellular catabolic process (GO:0044248)	1306	68	18.30	+	3.72	1.47E-20	8.06E-18
cellular response to cytokine stimulus (GO:0071345)	595	30	8.34	+	3.60	3.73E-09	4.94E-07
response to cytokine (GO:0034097)	695	35	9.74	+	3.59	1.75E-10	2.80E-08
ribonucleoprotein complex subunit organization (GO:0071826)	202	10	2.83	+	3.53	7.72E-04	3.23E-02
alcohol metabolic process (GO:0006066)	224	11	3.14	+	3.50	4.55E-04	2.08E-02
response to inorganic substance (GO:0010035)	356	17	4.99	+	3.41	1.93E-05	1.44E-03
positive regulation of intracellular transport (GO:0032388)	231	11	3.24	+	3.40	5.81E-04	2.55E-02
supramolecular fiber organization (GO:0097435)	381	18	5.34	+	3.37	1.26E-05	9.91E-04
cellular lipid metabolic process (GO:0044255)	766	36	10.74	+	3.35	5.69E-10	8.74E-08
regulation of innate immune response (GO:0045088)	236	11	3.31	+	3.33	6.88E-04	2.94E-02
myeloid cell differentiation (GO:0030099)	216	10	3.03	+	3.30	1.25E-03	4.66E-02
carbohydrate derivative metabolic process (GO:1901135)	814	37	11.41	+	3.24	7.73E-10	1.12E-07
wound healing (GO:0042060)	266	12	3.73	+	3.22	5.25E-04	2.34E-02
homeostasis of number of cells (GO:0048872)	244	11	3.42	+	3.22	8.94E-04	3.58E-02
regulation of protein stability (GO:0031647)	245	11	3.43	+	3.20	9.23E-04	3.67E-02
phosphorus metabolic process (GO:0006793)	1694	75	23.74	+	3.16	7.98E-19	4.23E-16
innate immune response (GO:0045087)	665	29	9.32	+	3.11	1.38E-07	1.45E-05
organonitrogen compound catabolic process (GO:1901565)	804	35	11.27	+	3.11	6.66E-09	8.53E-07
regulation of cellular component size (GO:0032535)	345	15	4.84	+	3.10	1.61E-04	8.70E-03
response to wounding (GO:0009611)	326	14	4.57	+	3.06	2.98E-04	1.47E-02
protein complex subunit organization (GO:0071822)	1053	45	14.76	+	3.05	6.44E-11	1.16E-08
protein complex assembly (GO:0006461)	945	40	13.24	+	3.02	1.09E-09	1.53E-07
protein complex biogenesis (GO:0070271)	946	40	13.26	+	3.02	1.12E-09	1.56E-07
organic hydroxy compound metabolic process (GO:1901615)	355	15	4.98	+	3.01	2.16E-04	1.12E-02
positive regulation of establishment of protein localization (GO:1904951)	522	22	7.32	+	3.01	7.89E-06	6.52E-04
regulation of cellular amide metabolic process (GO:0034248)	361	15	5.06	+	2.96	2.57E-04	1.30E-02
lipid metabolic process (GO:0006629)	1002	41	14.04	+	2.92	1.71E-09	2.34E-07
phosphate-containing compound metabolic process (GO:0006796)	1631	66	22.86	+	2.89	1.07E-14	3.29E-12
establishment of organelle localization (GO:0051656)	326	13	4.57	+	2.85	9.39E-04	3.73E-02
ribonucleoprotein complex biogenesis (GO:0022613)	384	15	5.38	+	2.79	4.79E-04	2.17E-02
actin cytoskeleton organization (GO:0030036)	415	16	5.82	+	2.75	3.59E-04	1.72E-02
macromolecular complex subunit organization (GO:0043933)	1427	55	20.00	+	2.75	1.67E-11	3.34E-09
response to extracellular stimulus (GO:0009991)	340	13	4.77	+	2.73	1.35E-03	4.96E-02
regulation of establishment of protein localization (GO:0070201)	814	31	11.41	+	2.72	8.47E-07	8.14E-05
macromolecular complex assembly (GO:0065003)	1266	48	17.74	+	2.71	6.74E-10	1.01E-07
immune effector process (GO:0002252)	534	20	7.48	+	2.67	9.90E-05	5.81E-03
regulation of catabolic process (GO:0009894)	737	27	10.33	+	2.61	8.81E-06	7.12E-04
actin filament-based process (GO:0030029)	470	17	6.59	+	2.58	4.79E-04	2.17E-02
regulation of cellular catabolic process (GO:0031329)	616	22	8.63	+	2.55	8.71E-05	5.31E-03
negative regulation of phosphorylation (GO:0042326)	451	16	6.32	+	2.53	8.51E-04	3.43E-02
carbohydrate derivative biosynthetic process (GO:1901137)	453	16	6.35	+	2.52	8.90E-04	3.58E-02
positive regulation of protein transport (GO:0051222)	510	18	7.15	+	2.52	4.36E-04	2.01E-02
positive regulation of organelle organization (GO:0010638)	600	21	8.41	+	2.50	1.65E-04	8.88E-03
organonitrogen compound metabolic process (GO:1901564)	4336	150	60.77	+	2.47	1.99E-29	2.78E-26
immune response (GO:0006955)	1151	39	16.13	+	2.42	5.72E-07	5.57E-05
phosphorylation (GO:0016310)	974	33	13.65	+	2.42	4.87E-06	4.13E-04
defense response (GO:0006952)	1226	41	17.18	+	2.39	3.80E-07	3.84E-05
regulation of proteolysis (GO:0030162)	663	22	9.29	+	2.37	3.00E-04	1.47E-02
intracellular transport (GO:0046907)	941	31	13.19	+	2.35	1.54E-05	1.18E-03
regulation of protein transport (GO:0051223)	790	26	11.07	+	2.35	8.33E-05	5.10E-03
response to other organism (GO:0051707)	816	26	11.44	+	2.27	1.29E-04	7.38E-03
response to external biotic stimulus (GO:0043207)	818	26	11.46	+	2.27	1.33E-04	7.53E-03
response to organic substance (GO:0010033)	2303	73	32.28	+	2.26	4.25E-11	7.87E-09
regulation of peptide transport (GO:0090087)	829	26	11.62	+	2.24	2.28E-04	1.18E-02
cellular component assembly (GO:0022607)	2010	63	28.17	+	2.24	2.17E-09	2.93E-07
response to organic cyclic compound (GO:0014070)	639	20	8.96	+	2.23	1.01E-03	3.95E-02
cellular component biogenesis (GO:0044085)	2214	69	31.03	+	2.22	5.06E-10	7.86E-08
biosynthetic process (GO:0009058)	3577	110	50.13	+	2.19	2.61E-16	9.32E-14
positive regulation of cell death (GO:0010942)	651	20	9.12	+	2.19	1.21E-03	4.56E-02
response to biotic stimulus (GO:0009607)	849	26	11.90	+	2.19	2.79E-04	1.40E-02
negative regulation of cellular protein metabolic process (GO:0032269)	959	29	13.44	+	2.16	1.32E-04	7.46E-03
response to nitrogen compound (GO:1901698)	772	23	10.82	+	2.13	9.00E-04	3.59E-02
regulation of protein localization (GO:0032880)	1046	31	14.66	+	2.11	1.29E-04	7.37E-03
regulation of response to stress (GO:0080134)	1154	34	16.17	+	2.10	5.73E-05	3.66E-03
organic substance biosynthetic process (GO:1901576)	3509	103	49.18	+	2.09	1.15E-13	2.95E-11
cellular response to chemical stimulus (GO:0070887)	2045	60	28.66	+	2.09	6.34E-08	7.11E-06
establishment of localization in cell (GO:0051649)	1159	34	16.24	+	2.09	6.12E-05	3.89E-03
response to stress (GO:0006950)	2935	85	41.13	+	2.07	7.38E-11	1.27E-08
immune system process (GO:0002376)	1970	57	27.61	+	2.06	2.18E-07	2.25E-05
negative regulation of apoptotic process (GO:0043066)	868	25	12.16	+	2.06	1.01E-03	3.96E-02
multi-organism process (GO:0051704)	1815	52	25.44	+	2.04	1.21E-06	1.15E-04
negative regulation of protein metabolic process (GO:0051248)	1020	29	14.30	+	2.03	3.69E-04	1.76E-02
cellular metabolic process (GO:0044237)	7201	204	100.92	+	2.02	3.93E-32	8.63E-29
negative regulation of programmed cell death (GO:0043069)	884	25	12.39	+	2.02	1.15E-03	4.38E-02
regulation of cell death (GO:0010941)	1628	46	22.82	+	2.02	9.22E-06	7.42E-04
regulation of apoptotic process (GO:0042981)	1468	41	20.57	+	1.99	3.13E-05	2.20E-03
cellular response to organic substance (GO:0071310)	1649	46	23.11	+	1.99	1.08E-05	8.62E-04
regulation of programmed cell death (GO:0043067)	1486	41	20.83	+	1.97	5.28E-05	3.46E-03
protein transport (GO:0015031)	1130	31	15.84	+	1.96	4.29E-04	1.99E-02
cellular nitrogen compound metabolic process (GO:0034641)	4120	113	57.74	+	1.96	2.65E-13	6.58E-11
response to oxygen-containing compound (GO:1901700)	1131	31	15.85	+	1.96	4.34E-04	2.01E-02
regulation of biological quality (GO:0065008)	3402	93	47.68	+	1.95	1.31E-10	2.16E-08
response to chemical (GO:0042221)	3402	93	47.68	+	1.95	1.31E-10	2.14E-08
cellular biosynthetic process (GO:0044249)	3420	93	47.93	+	1.94	1.56E-10	2.52E-08
organic substance metabolic process (GO:0071704)	7768	209	108.87	+	1.92	3.77E-30	5.79E-27
primary metabolic process (GO:0044238)	7410	199	103.85	+	1.92	1.47E-27	1.51E-24
peptide transport (GO:0015833)	1155	31	16.19	+	1.92	7.37E-04	3.12E-02
metabolic process (GO:0008152)	8235	221	115.41	+	1.91	4.27E-33	1.09E-29
regulation of catalytic activity (GO:0050790)	1729	46	24.23	+	1.90	4.39E-05	2.92E-03
amide transport (GO:0042886)	1171	31	16.41	+	1.89	8.32E-04	3.42E-02
establishment of protein localization (GO:0045184)	1211	32	16.97	+	1.89	6.63E-04	2.88E-02
positive regulation of cellular component organization (GO:0051130)	1212	32	16.99	+	1.88	6.69E-04	2.90E-02
regulation of organelle organization (GO:0033043)	1179	31	16.52	+	1.88	8.91E-04	3.58E-02
homeostatic process (GO:0042592)	1436	37	20.13	+	1.84	4.52E-04	2.07E-02
organic cyclic compound metabolic process (GO:1901360)	3942	101	55.25	+	1.83	5.84E-10	8.89E-08
response to external stimulus (GO:0009605)	1706	42	23.91	+	1.76	3.99E-04	1.87E-02
cellular aromatic compound metabolic process (GO:0006725)	3753	92	52.60	+	1.75	4.91E-08	5.55E-06
cellular protein metabolic process (GO:0044267)	2753	67	38.58	+	1.74	8.69E-06	7.11E-04
nitrogen compound metabolic process (GO:0006807)	6855	166	96.07	+	1.73	5.34E-16	1.87E-13
organic substance transport (GO:0071702)	1695	41	23.76	+	1.73	8.03E-04	3.35E-02
heterocycle metabolic process (GO:0046483)	3699	89	51.84	+	1.72	2.32E-07	2.37E-05
cellular localization (GO:0051641)	1765	42	24.74	+	1.70	1.00E-03	3.95E-02
regulation of molecular function (GO:0065009)	2328	55	32.63	+	1.69	1.29E-04	7.36E-03
nucleobase-containing compound metabolic process (GO:0006139)	3570	84	50.03	+	1.68	1.26E-06	1.19E-04
cellular component organization or biogenesis (GO:0071840)	4866	113	68.20	+	1.66	1.17E-08	1.44E-06
cellular nitrogen compound biosynthetic process (GO:0044271)	2590	60	36.30	+	1.65	1.22E-04	7.01E-03
cellular component organization (GO:0016043)	4691	108	65.74	+	1.64	4.09E-08	4.70E-06
regulation of cellular protein metabolic process (GO:0032268)	2326	53	32.60	+	1.63	5.32E-04	2.36E-02
protein metabolic process (GO:0019538)	3481	78	48.79	+	1.60	2.12E-05	1.57E-03
establishment of localization (GO:0051234)	3424	72	47.99	+	1.50	3.71E-04	1.76E-02
transport (GO:0006810)	3293	69	46.15	+	1.50	5.55E-04	2.46E-02
cellular process (GO:0009987)	13831	276	193.84	+	1.42	5.66E-25	4.58E-22
positive regulation of cellular process (GO:0048522)	4914	98	68.87	+	1.42	1.52E-04	8.23E-03
positive regulation of biological process (GO:0048518)	5443	107	76.28	+	1.40	1.15E-04	6.70E-03
biological_process (GO:0008150)	20540	308	287.87	+	1.07	5.14E-07	5.09E-05
cell communication (GO:0007154)	5084	45	71.25	-	.63	2.94E-04	1.45E-02
signaling (GO:0023052)	4966	39	69.60	-	.56	1.38E-05	1.06E-03
signal transduction (GO:0007165)	4629	35	64.88	-	.54	1.15E-05	9.06E-04
system process (GO:0003008)	2592	19	36.33	-	.52	1.29E-03	4.77E-02
nervous system process (GO:0050877)	2120	9	29.71	-	.30	8.78E-06	7.14E-04
Unclassified (UNCLASSIFIED)	1722	4	24.13	-	.17	5.14E-07	5.06E-05
G-protein coupled receptor signaling pathway (GO:0007186)	1793	3	25.13	-	.12	3.63E-08	4.20E-06
sensory perception (GO:0007600)	1757	2	24.62	-	.08	6.56E-09	8.48E-07
sensory perception of smell (GO:0007608)	1089	0	15.26	-	 < 0.01	3.38E-07	3.44E-05
sensory perception of chemical stimulus (GO:0007606)	1377	0	19.30	-	 < 0.01	5.67E-09	7.39E-07
