




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (521)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of steroid metabolic process (GO:0019218)	96	10	2.25	+	4.45	1.61E-04	7.37E-03
response to alcohol (GO:0097305)	116	12	2.71	+	4.42	3.87E-05	2.22E-03
aromatic compound catabolic process (GO:0019439)	271	28	6.34	+	4.41	3.31E-10	6.70E-08
response to ethanol (GO:0045471)	68	7	1.59	+	4.40	1.63E-03	4.77E-02
cellular response to toxic substance (GO:0097237)	107	11	2.50	+	4.39	8.50E-05	4.26E-03
response to ketone (GO:1901654)	98	10	2.29	+	4.36	1.87E-04	8.32E-03
regulation of steroid biosynthetic process (GO:0050810)	69	7	1.61	+	4.33	1.76E-03	4.98E-02
nucleoside diphosphate metabolic process (GO:0009132)	69	7	1.61	+	4.33	1.76E-03	4.97E-02
regulation of telomere maintenance (GO:0032204)	79	8	1.85	+	4.33	8.52E-04	2.87E-02
regulation of response to oxidative stress (GO:1902882)	89	9	2.08	+	4.32	4.14E-04	1.58E-02
symbiont process (GO:0044403)	208	21	4.87	+	4.31	7.86E-08	9.82E-06
regulation of cellular response to oxidative stress (GO:1900407)	80	8	1.87	+	4.27	9.18E-04	3.02E-02
regulation of proteasomal protein catabolic process (GO:0061136)	162	16	3.79	+	4.22	3.58E-06	3.06E-04
response to hydrogen peroxide (GO:0042542)	82	8	1.92	+	4.17	1.06E-03	3.39E-02
glycosyl compound metabolic process (GO:1901657)	113	11	2.64	+	4.16	1.33E-04	6.21E-03
interspecies interaction between organisms (GO:0044419)	227	22	5.31	+	4.14	7.49E-08	9.44E-06
regulation of cellular protein catabolic process (GO:1903362)	217	21	5.08	+	4.14	1.51E-07	1.79E-05
reactive oxygen species metabolic process (GO:0072593)	93	9	2.18	+	4.14	5.56E-04	2.05E-02
purine-containing compound biosynthetic process (GO:0072522)	124	12	2.90	+	4.14	7.01E-05	3.65E-03
ERAD pathway (GO:0036503)	83	8	1.94	+	4.12	1.14E-03	3.62E-02
cellular lipid metabolic process (GO:0044255)	766	73	17.93	+	4.07	5.23E-23	4.02E-20
response to nutrient (GO:0007584)	84	8	1.97	+	4.07	1.23E-03	3.83E-02
lipid metabolic process (GO:0006629)	1002	95	23.45	+	4.05	7.77E-30	8.53E-27
cellular lipid catabolic process (GO:0044242)	149	14	3.49	+	4.01	2.42E-05	1.51E-03
regulation of lipid transport (GO:0032368)	107	10	2.50	+	3.99	3.60E-04	1.45E-02
lipid biosynthetic process (GO:0008610)	396	37	9.27	+	3.99	6.92E-12	2.01E-09
purine nucleotide biosynthetic process (GO:0006164)	119	11	2.78	+	3.95	2.02E-04	8.88E-03
heterocycle catabolic process (GO:0046700)	260	24	6.08	+	3.94	4.50E-08	6.12E-06
response to xenobiotic stimulus (GO:0009410)	163	15	3.81	+	3.93	1.57E-05	1.03E-03
regulation of lipid biosynthetic process (GO:0046890)	154	14	3.60	+	3.88	3.38E-05	1.99E-03
positive regulation of lipid metabolic process (GO:0045834)	143	13	3.35	+	3.88	6.41E-05	3.40E-03
cellular nitrogen compound catabolic process (GO:0044270)	254	23	5.94	+	3.87	1.18E-07	1.44E-05
regulation of mRNA processing (GO:0050684)	111	10	2.60	+	3.85	4.71E-04	1.78E-02
cellular response to reactive oxygen species (GO:0034614)	100	9	2.34	+	3.85	9.00E-04	2.99E-02
cell junction assembly (GO:0034329)	100	9	2.34	+	3.85	9.00E-04	2.98E-02
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	189	17	4.42	+	3.84	5.70E-06	4.45E-04
response to toxic substance (GO:0009636)	305	27	7.14	+	3.78	1.46E-08	2.29E-06
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	159	14	3.72	+	3.76	4.67E-05	2.61E-03
protein homooligomerization (GO:0051260)	330	29	7.72	+	3.76	4.93E-09	8.80E-07
organic substance catabolic process (GO:1901575)	1278	112	29.91	+	3.74	1.53E-32	1.81E-29
cellular catabolic process (GO:0044248)	1306	114	30.56	+	3.73	5.24E-33	7.32E-30
positive regulation of cellular protein catabolic process (GO:1903364)	127	11	2.97	+	3.70	3.40E-04	1.39E-02
protein folding (GO:0006457)	151	13	3.53	+	3.68	1.07E-04	5.13E-03
organonitrogen compound catabolic process (GO:1901565)	804	69	18.82	+	3.67	1.80E-19	1.10E-16
regulation of protein catabolic process (GO:0042176)	339	29	7.93	+	3.66	8.59E-09	1.42E-06
catabolic process (GO:0009056)	1499	126	35.08	+	3.59	3.46E-35	5.91E-32
purine-containing compound metabolic process (GO:0072521)	335	28	7.84	+	3.57	2.47E-08	3.51E-06
ribose phosphate biosynthetic process (GO:0046390)	120	10	2.81	+	3.56	8.26E-04	2.80E-02
organic anion transport (GO:0015711)	314	26	7.35	+	3.54	9.28E-08	1.15E-05
hexose metabolic process (GO:0019318)	121	10	2.83	+	3.53	8.76E-04	2.92E-02
response to metal ion (GO:0010038)	230	19	5.38	+	3.53	5.15E-06	4.14E-04
lipid catabolic process (GO:0016042)	231	19	5.41	+	3.51	5.45E-06	4.30E-04
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	195	16	4.56	+	3.51	3.05E-05	1.83E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	235	19	5.50	+	3.45	6.86E-06	5.22E-04
carbohydrate metabolic process (GO:0005975)	386	31	9.03	+	3.43	1.04E-08	1.66E-06
drug transport (GO:0015893)	125	10	2.93	+	3.42	1.10E-03	3.51E-02
nucleotide biosynthetic process (GO:0009165)	163	13	3.81	+	3.41	2.16E-04	9.43E-03
proteasomal protein catabolic process (GO:0010498)	265	21	6.20	+	3.39	3.05E-06	2.68E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	480	38	11.23	+	3.38	3.16E-10	6.65E-08
response to reactive oxygen species (GO:0000302)	152	12	3.56	+	3.37	4.07E-04	1.57E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	419	33	9.81	+	3.37	5.38E-09	9.51E-07
generation of precursor metabolites and energy (GO:0006091)	242	19	5.66	+	3.35	1.01E-05	7.10E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	192	15	4.49	+	3.34	8.98E-05	4.47E-03
positive regulation of protein catabolic process (GO:0045732)	193	15	4.52	+	3.32	9.48E-05	4.60E-03
modification-dependent protein catabolic process (GO:0019941)	425	33	9.95	+	3.32	7.44E-09	1.24E-06
positive regulation of ion transmembrane transport (GO:0034767)	142	11	3.32	+	3.31	8.12E-04	2.76E-02
ribose phosphate metabolic process (GO:0019693)	298	23	6.97	+	3.30	1.58E-06	1.49E-04
nucleoside phosphate biosynthetic process (GO:1901293)	169	13	3.96	+	3.29	3.00E-04	1.25E-02
modification-dependent macromolecule catabolic process (GO:0043632)	433	33	10.13	+	3.26	1.14E-08	1.80E-06
purine ribonucleoside triphosphate metabolic process (GO:0009205)	184	14	4.31	+	3.25	1.98E-04	8.73E-03
regulation of viral process (GO:0050792)	158	12	3.70	+	3.25	5.63E-04	2.07E-02
protein oligomerization (GO:0051259)	527	40	12.33	+	3.24	3.38E-10	6.76E-08
response to inorganic substance (GO:0010035)	356	27	8.33	+	3.24	2.72E-07	3.09E-05
regulation of mRNA metabolic process (GO:1903311)	200	15	4.68	+	3.20	1.37E-04	6.36E-03
ribonucleoside triphosphate metabolic process (GO:0009199)	188	14	4.40	+	3.18	2.43E-04	1.04E-02
negative regulation of cellular catabolic process (GO:0031330)	202	15	4.73	+	3.17	1.52E-04	6.99E-03
response to steroid hormone (GO:0048545)	189	14	4.42	+	3.17	2.56E-04	1.09E-02
protein localization to plasma membrane (GO:0072659)	162	12	3.79	+	3.17	6.92E-04	2.40E-02
positive regulation of transmembrane transport (GO:0034764)	149	11	3.49	+	3.15	1.17E-03	3.68E-02
positive regulation of multi-organism process (GO:0043902)	163	12	3.81	+	3.15	7.28E-04	2.51E-02
energy derivation by oxidation of organic compounds (GO:0015980)	191	14	4.47	+	3.13	2.83E-04	1.19E-02
actin filament organization (GO:0007015)	192	14	4.49	+	3.12	2.97E-04	1.24E-02
nucleoside triphosphate metabolic process (GO:0009141)	208	15	4.87	+	3.08	2.04E-04	8.96E-03
cellular response to external stimulus (GO:0071496)	236	17	5.52	+	3.08	7.98E-05	4.04E-03
purine nucleotide metabolic process (GO:0006163)	292	21	6.83	+	3.07	1.22E-05	8.44E-04
regulation of catabolic process (GO:0009894)	737	53	17.25	+	3.07	2.66E-12	8.03E-10
nucleoside monophosphate metabolic process (GO:0009123)	195	14	4.56	+	3.07	3.44E-04	1.39E-02
regulation of cellular catabolic process (GO:0031329)	616	44	14.42	+	3.05	2.60E-10	5.70E-08
regulation of lipid metabolic process (GO:0019216)	310	22	7.25	+	3.03	9.28E-06	6.67E-04
purine ribonucleoside monophosphate metabolic process (GO:0009167)	184	13	4.31	+	3.02	6.38E-04	2.31E-02
negative regulation of catabolic process (GO:0009895)	256	18	5.99	+	3.00	6.65E-05	3.49E-03
protein localization to cell periphery (GO:1990778)	185	13	4.33	+	3.00	6.69E-04	2.36E-02
purine nucleoside monophosphate metabolic process (GO:0009126)	185	13	4.33	+	3.00	6.69E-04	2.36E-02
protein polyubiquitination (GO:0000209)	171	12	4.00	+	3.00	1.08E-03	3.42E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	500	35	11.70	+	2.99	3.00E-08	4.24E-06
ribonucleoside monophosphate metabolic process (GO:0009161)	187	13	4.38	+	2.97	7.34E-04	2.53E-02
nucleotide metabolic process (GO:0009117)	404	28	9.45	+	2.96	8.88E-07	8.81E-05
response to drug (GO:0042493)	651	45	15.24	+	2.95	4.30E-10	8.36E-08
endomembrane system organization (GO:0010256)	305	21	7.14	+	2.94	2.25E-05	1.42E-03
regulation of muscle system process (GO:0090257)	219	15	5.13	+	2.93	3.43E-04	1.39E-02
purine ribonucleotide metabolic process (GO:0009150)	279	19	6.53	+	2.91	6.28E-05	3.36E-03
nucleoside phosphate metabolic process (GO:0006753)	413	28	9.67	+	2.90	1.33E-06	1.29E-04
cellular protein catabolic process (GO:0044257)	518	35	12.12	+	2.89	6.78E-08	8.76E-06
protein catabolic process (GO:0030163)	565	38	13.22	+	2.87	2.05E-08	3.03E-06
glycerolipid metabolic process (GO:0046486)	253	17	5.92	+	2.87	1.75E-04	7.85E-03
Golgi vesicle transport (GO:0048193)	209	14	4.89	+	2.86	6.57E-04	2.33E-02
positive regulation of cellular catabolic process (GO:0031331)	316	21	7.40	+	2.84	3.66E-05	2.12E-03
organophosphate biosynthetic process (GO:0090407)	332	22	7.77	+	2.83	2.50E-05	1.55E-03
ribonucleotide metabolic process (GO:0009259)	287	19	6.72	+	2.83	8.92E-05	4.45E-03
cellular amide metabolic process (GO:0043603)	562	37	13.15	+	2.81	5.29E-08	6.95E-06
response to organic cyclic compound (GO:0014070)	639	42	14.95	+	2.81	6.73E-09	1.15E-06
endosomal transport (GO:0016197)	215	14	5.03	+	2.78	8.52E-04	2.86E-02
positive regulation of catabolic process (GO:0009896)	370	24	8.66	+	2.77	1.51E-05	9.98E-04
vesicle organization (GO:0016050)	235	15	5.50	+	2.73	6.84E-04	2.38E-02
positive regulation of DNA binding transcription factor activity (GO:0051091)	223	14	5.22	+	2.68	1.18E-03	3.72E-02
cellular response to organic cyclic compound (GO:0071407)	387	24	9.06	+	2.65	2.99E-05	1.82E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	226	14	5.29	+	2.65	1.33E-03	4.08E-02
regulation of protein stability (GO:0031647)	245	15	5.73	+	2.62	1.02E-03	3.27E-02
anion transport (GO:0006820)	425	26	9.95	+	2.61	1.75E-05	1.14E-03
response to acid chemical (GO:0001101)	230	14	5.38	+	2.60	1.56E-03	4.59E-02
cellular macromolecule catabolic process (GO:0044265)	675	41	15.80	+	2.60	1.29E-07	1.56E-05
positive regulation of ion transport (GO:0043270)	281	17	6.58	+	2.59	5.49E-04	2.03E-02
macromolecule catabolic process (GO:0009057)	761	46	17.81	+	2.58	1.98E-08	2.95E-06
protein complex assembly (GO:0006461)	945	57	22.12	+	2.58	3.02E-10	6.54E-08
protein complex biogenesis (GO:0070271)	946	57	22.14	+	2.57	3.10E-10	6.63E-08
actin filament-based process (GO:0030029)	470	28	11.00	+	2.55	1.33E-05	9.06E-04
response to extracellular stimulus (GO:0009991)	340	20	7.96	+	2.51	2.61E-04	1.11E-02
regulation of neurotransmitter levels (GO:0001505)	293	17	6.86	+	2.48	8.53E-04	2.86E-02
protein complex subunit organization (GO:0071822)	1053	61	24.64	+	2.48	3.49E-10	6.87E-08
actin cytoskeleton organization (GO:0030036)	415	24	9.71	+	2.47	1.19E-04	5.64E-03
supramolecular fiber organization (GO:0097435)	381	22	8.92	+	2.47	2.50E-04	1.07E-02
RNA splicing (GO:0008380)	312	18	7.30	+	2.47	6.47E-04	2.30E-02
response to nutrient levels (GO:0031667)	313	18	7.33	+	2.46	6.70E-04	2.36E-02
protein localization to membrane (GO:0072657)	331	19	7.75	+	2.45	7.76E-04	2.66E-02
protein modification by small protein conjugation or removal (GO:0070647)	593	34	13.88	+	2.45	3.90E-06	3.31E-04
macromolecular complex assembly (GO:0065003)	1266	72	29.63	+	2.43	1.17E-11	3.15E-09
positive regulation of proteolysis (GO:0045862)	299	17	7.00	+	2.43	1.69E-03	4.89E-02
mRNA processing (GO:0006397)	388	22	9.08	+	2.42	2.83E-04	1.19E-02
organophosphate metabolic process (GO:0019637)	719	40	16.83	+	2.38	1.31E-06	1.28E-04
peptide metabolic process (GO:0006518)	432	24	10.11	+	2.37	1.73E-04	7.82E-03
regulation of protein complex assembly (GO:0043254)	382	21	8.94	+	2.35	5.17E-04	1.93E-02
protein modification by small protein conjugation (GO:0032446)	474	26	11.09	+	2.34	1.06E-04	5.11E-03
cell-cell adhesion (GO:0098609)	347	19	8.12	+	2.34	1.04E-03	3.31E-02
regulation of proteolysis (GO:0030162)	663	36	15.52	+	2.32	7.05E-06	5.29E-04
regulation of system process (GO:0044057)	499	27	11.68	+	2.31	9.39E-05	4.57E-03
membrane organization (GO:0061024)	670	36	15.68	+	2.30	8.27E-06	6.05E-04
organonitrogen compound biosynthetic process (GO:1901566)	1047	56	24.50	+	2.29	2.28E-08	3.28E-06
response to organonitrogen compound (GO:0010243)	656	35	15.35	+	2.28	1.26E-05	8.66E-04
positive regulation of cellular protein localization (GO:1903829)	375	20	8.78	+	2.28	9.42E-04	3.09E-02
regulation of cellular protein localization (GO:1903827)	582	31	13.62	+	2.28	4.52E-05	2.54E-03
macromolecular complex subunit organization (GO:0043933)	1427	76	33.40	+	2.28	7.63E-11	1.83E-08
macromolecule localization (GO:0033036)	2016	105	47.18	+	2.23	2.07E-14	8.60E-12
response to hormone (GO:0009725)	577	30	13.50	+	2.22	8.33E-05	4.20E-03
regulation of cellular response to stress (GO:0080135)	577	30	13.50	+	2.22	8.33E-05	4.19E-03
organic substance transport (GO:0071702)	1695	88	39.67	+	2.22	7.49E-12	2.13E-09
response to nitrogen compound (GO:1901698)	772	40	18.07	+	2.21	6.10E-06	4.73E-04
mRNA metabolic process (GO:0016071)	506	26	11.84	+	2.20	3.13E-04	1.29E-02
response to lipid (GO:0033993)	591	30	13.83	+	2.17	1.69E-04	7.68E-03
protein ubiquitination (GO:0016567)	435	22	10.18	+	2.16	1.19E-03	3.73E-02
response to cytokine (GO:0034097)	695	35	16.27	+	2.15	4.07E-05	2.33E-03
negative regulation of cell death (GO:0060548)	984	49	23.03	+	2.13	1.71E-06	1.59E-04
response to oxygen-containing compound (GO:1901700)	1131	56	26.47	+	2.12	3.61E-07	3.97E-05
regulation of hormone levels (GO:0010817)	507	25	11.87	+	2.11	9.71E-04	3.18E-02
cellular response to cytokine stimulus (GO:0071345)	595	29	13.92	+	2.08	3.28E-04	1.34E-02
negative regulation of programmed cell death (GO:0043069)	884	43	20.69	+	2.08	1.39E-05	9.45E-04
regulation of homeostatic process (GO:0032844)	498	24	11.65	+	2.06	1.49E-03	4.43E-02
positive regulation of establishment of protein localization (GO:1904951)	522	25	12.22	+	2.05	1.17E-03	3.67E-02
response to organic substance (GO:0010033)	2303	110	53.90	+	2.04	1.12E-12	3.59E-10
regulation of cellular localization (GO:0060341)	882	42	20.64	+	2.03	2.45E-05	1.53E-03
cellular macromolecule localization (GO:0070727)	1182	56	27.66	+	2.02	1.14E-06	1.12E-04
negative regulation of apoptotic process (GO:0043066)	868	41	20.31	+	2.02	3.61E-05	2.10E-03
cellular response to oxygen-containing compound (GO:1901701)	721	34	16.87	+	2.01	1.73E-04	7.81E-03
cellular response to chemical stimulus (GO:0070887)	2045	96	47.86	+	2.01	1.39E-10	3.20E-08
cellular protein localization (GO:0034613)	1173	55	27.45	+	2.00	1.84E-06	1.69E-04
regulation of protein localization (GO:0032880)	1046	49	24.48	+	2.00	9.63E-06	6.88E-04
response to chemical (GO:0042221)	3402	156	79.62	+	1.96	7.93E-17	4.51E-14
positive regulation of transport (GO:0051050)	1047	48	24.50	+	1.96	1.67E-05	1.09E-03
negative regulation of cellular component organization (GO:0051129)	635	29	14.86	+	1.95	8.74E-04	2.92E-02
carbohydrate derivative metabolic process (GO:1901135)	814	37	19.05	+	1.94	2.33E-04	1.01E-02
cellular metabolic process (GO:0044237)	7201	327	168.53	+	1.94	1.33E-44	2.91E-41
cytoskeleton organization (GO:0007010)	894	40	20.92	+	1.91	1.82E-04	8.10E-03
regulation of ion transport (GO:0043269)	650	29	15.21	+	1.91	1.49E-03	4.43E-02
metabolic process (GO:0008152)	8235	366	192.72	+	1.90	4.90E-52	3.76E-48
cellular response to stress (GO:0033554)	1328	59	31.08	+	1.90	4.27E-06	3.49E-04
response to endogenous stimulus (GO:0009719)	1016	45	23.78	+	1.89	7.96E-05	4.04E-03
organonitrogen compound metabolic process (GO:1901564)	4336	192	101.48	+	1.89	8.66E-20	5.55E-17
ion transport (GO:0006811)	1096	48	25.65	+	1.87	6.05E-05	3.25E-03
cellular macromolecular complex assembly (GO:0034622)	663	29	15.52	+	1.87	1.74E-03	4.93E-02
organic substance metabolic process (GO:0071704)	7768	339	181.80	+	1.86	1.98E-43	3.80E-40
cellular component assembly (GO:0022607)	2010	87	47.04	+	1.85	5.44E-08	7.09E-06
regulation of biological quality (GO:0065008)	3402	147	79.62	+	1.85	1.55E-13	5.97E-11
chemical homeostasis (GO:0048878)	952	41	22.28	+	1.84	2.89E-04	1.21E-02
protein localization (GO:0008104)	1755	75	41.07	+	1.83	7.51E-07	7.80E-05
intracellular transport (GO:0046907)	941	40	22.02	+	1.82	4.19E-04	1.59E-02
homeostatic process (GO:0042592)	1436	61	33.61	+	1.82	1.40E-05	9.47E-04
organic cyclic compound metabolic process (GO:1901360)	3942	167	92.26	+	1.81	7.15E-15	3.05E-12
primary metabolic process (GO:0044238)	7410	310	173.42	+	1.79	1.84E-33	2.84E-30
regulation of establishment of protein localization (GO:0070201)	814	34	19.05	+	1.78	1.47E-03	4.39E-02
positive regulation of molecular function (GO:0044093)	1344	56	31.45	+	1.78	4.31E-05	2.44E-03
proteolysis (GO:0006508)	1057	44	24.74	+	1.78	3.81E-04	1.51E-02
cellular localization (GO:0051641)	1765	73	41.31	+	1.77	4.10E-06	3.45E-04
transport (GO:0006810)	3293	136	77.07	+	1.76	4.45E-11	1.10E-08
positive regulation of cellular component organization (GO:0051130)	1212	50	28.36	+	1.76	1.99E-04	8.76E-03
cellular response to organic substance (GO:0071310)	1649	68	38.59	+	1.76	1.02E-05	7.16E-04
cellular component biogenesis (GO:0044085)	2214	91	51.81	+	1.76	2.05E-07	2.39E-05
biosynthetic process (GO:0009058)	3577	146	83.71	+	1.74	1.12E-11	3.09E-09
vesicle-mediated transport (GO:0016192)	1079	44	25.25	+	1.74	6.42E-04	2.28E-02
regulation of response to stress (GO:0080134)	1154	47	27.01	+	1.74	3.23E-04	1.33E-02
establishment of localization (GO:0051234)	3424	138	80.13	+	1.72	1.40E-10	3.16E-08
negative regulation of protein metabolic process (GO:0051248)	1020	41	23.87	+	1.72	1.03E-03	3.30E-02
organic substance biosynthetic process (GO:1901576)	3509	141	82.12	+	1.72	9.55E-11	2.26E-08
amide transport (GO:0042886)	1171	47	27.41	+	1.72	5.01E-04	1.89E-02
nitrogen compound transport (GO:0071705)	1402	56	32.81	+	1.71	1.31E-04	6.14E-03
regulation of cell death (GO:0010941)	1628	64	38.10	+	1.68	6.48E-05	3.41E-03
regulation of programmed cell death (GO:0043067)	1486	58	34.78	+	1.67	1.92E-04	8.52E-03
peptide transport (GO:0015833)	1155	45	27.03	+	1.66	1.36E-03	4.15E-02
regulation of transport (GO:0051049)	1879	73	43.97	+	1.66	3.30E-05	1.97E-03
regulation of apoptotic process (GO:0042981)	1468	57	34.36	+	1.66	2.52E-04	1.07E-02
establishment of protein localization (GO:0045184)	1211	47	28.34	+	1.66	9.11E-04	3.00E-02
regulation of localization (GO:0032879)	2631	102	61.57	+	1.66	5.16E-07	5.47E-05
cellular biosynthetic process (GO:0044249)	3420	130	80.04	+	1.62	2.10E-08	3.07E-06
localization (GO:0051179)	4445	163	104.03	+	1.57	1.89E-09	3.50E-07
negative regulation of biosynthetic process (GO:0009890)	1449	53	33.91	+	1.56	1.68E-03	4.88E-02
positive regulation of metabolic process (GO:0009893)	3145	114	73.60	+	1.55	2.44E-06	2.21E-04
regulation of molecular function (GO:0065009)	2328	84	54.48	+	1.54	9.17E-05	4.53E-03
phosphorus metabolic process (GO:0006793)	1694	61	39.64	+	1.54	1.11E-03	3.53E-02
cellular aromatic compound metabolic process (GO:0006725)	3753	135	87.83	+	1.54	2.55E-07	2.93E-05
negative regulation of metabolic process (GO:0009892)	2566	92	60.05	+	1.53	4.34E-05	2.44E-03
regulation of protein metabolic process (GO:0051246)	2512	90	58.79	+	1.53	6.48E-05	3.42E-03
cellular protein metabolic process (GO:0044267)	2753	98	64.43	+	1.52	3.04E-05	1.84E-03
organelle organization (GO:0006996)	2795	99	65.41	+	1.51	3.41E-05	2.00E-03
negative regulation of cellular metabolic process (GO:0031324)	2353	83	55.07	+	1.51	2.36E-04	1.01E-02
cellular nitrogen compound metabolic process (GO:0034641)	4120	145	96.42	+	1.50	2.74E-07	3.10E-05
heterocycle metabolic process (GO:0046483)	3699	129	86.57	+	1.49	3.33E-06	2.88E-04
regulation of cellular protein metabolic process (GO:0032268)	2326	81	54.44	+	1.49	3.87E-04	1.53E-02
negative regulation of nitrogen compound metabolic process (GO:0051172)	2186	76	51.16	+	1.49	6.22E-04	2.25E-02
cellular component organization (GO:0016043)	4691	163	109.78	+	1.48	7.18E-08	9.12E-06
nitrogen compound metabolic process (GO:0006807)	6855	237	160.43	+	1.48	3.81E-12	1.13E-09
regulation of cellular component organization (GO:0051128)	2338	80	54.72	+	1.46	6.92E-04	2.40E-02
regulation of metabolic process (GO:0019222)	5820	199	136.21	+	1.46	3.23E-09	5.91E-07
negative regulation of cellular process (GO:0048523)	4305	147	100.75	+	1.46	1.37E-06	1.31E-04
cellular component organization or biogenesis (GO:0071840)	4866	166	113.88	+	1.46	1.89E-07	2.22E-05
negative regulation of macromolecule metabolic process (GO:0010605)	2317	79	54.23	+	1.46	8.53E-04	2.86E-02
negative regulation of biological process (GO:0048519)	4752	161	111.21	+	1.45	4.80E-07	5.13E-05
regulation of primary metabolic process (GO:0080090)	5351	177	125.23	+	1.41	4.71E-07	5.06E-05
response to stress (GO:0006950)	2935	97	68.69	+	1.41	5.26E-04	1.96E-02
regulation of cellular metabolic process (GO:0031323)	5483	178	128.32	+	1.39	1.66E-06	1.56E-04
positive regulation of macromolecule metabolic process (GO:0010604)	2908	94	68.06	+	1.38	1.60E-03	4.71E-02
positive regulation of cellular metabolic process (GO:0031325)	2943	95	68.88	+	1.38	1.36E-03	4.15E-02
positive regulation of biological process (GO:0048518)	5443	175	127.38	+	1.37	3.46E-06	2.98E-04
regulation of macromolecule metabolic process (GO:0060255)	5382	173	125.96	+	1.37	5.11E-06	4.15E-04
cellular process (GO:0009987)	13831	435	323.69	+	1.34	5.62E-26	5.40E-23
regulation of nitrogen compound metabolic process (GO:0051171)	5219	163	122.14	+	1.33	5.59E-05	3.03E-03
response to stimulus (GO:0050896)	7726	219	180.81	+	1.21	6.73E-04	2.36E-02
biological regulation (GO:0065007)	11512	306	269.42	+	1.14	1.62E-03	4.75E-02
biological_process (GO:0008150)	20540	515	480.70	+	1.07	2.30E-11	5.90E-09
cell communication (GO:0007154)	5084	86	118.98	-	.72	4.71E-04	1.78E-02
signaling (GO:0023052)	4966	75	116.22	-	.65	8.65E-06	6.27E-04
signal transduction (GO:0007165)	4629	64	108.33	-	.59	7.12E-07	7.45E-05
nervous system process (GO:0050877)	2120	20	49.61	-	.40	1.40E-06	1.34E-04
sensory perception (GO:0007600)	1757	8	41.12	-	.19	2.54E-10	5.66E-08
G-protein coupled receptor signaling pathway (GO:0007186)	1793	8	41.96	-	.19	1.22E-10	2.85E-08
Unclassified (UNCLASSIFIED)	1722	6	40.30	-	.15	2.30E-11	6.00E-09
sensory perception of chemical stimulus (GO:0007606)	1377	1	32.23	-	.03	2.85E-13	1.07E-10
sensory perception of smell (GO:0007608)	1089	0	25.49	-	 < 0.01	1.05E-11	2.93E-09
